UniProt_ID,BindingDB_ID,chEMBL_ID,Molecule_name,IN_KI
Q59H18,BDBM50355495,CHEMBL1908391,MASITINIB,IK27496
Q59H18,BDBM50355496,CHEMBL1908397,KW2449,IK27497
Q59H18,BDBM50355494,CHEMBL1908396,Ki20227,IK27498
Q59H18,BDBM50355499,CHEMBL1908842,JNJ28312141,IK27499
Q59H18,BDBM50355500,CHEMBL1908394,GSK461364,IK27500
Q59H18,BDBM5446,CHEMBL553,ERLOTINIB,IK27501
Q59H18,BDBM25118,CHEMBL522892,DOVITINIB,IK27502
Q59H18,BDBM6568,CHEMBL386051,PD17395,IK27503
Q59H18,BDBM13216,CHEMBL1421,DASATINIB,IK27504
Q59H18,BDBM5445,CHEMBL554,LAPATINIB,IK27505
Q59H18,BDBM13530,CHEMBL941,IMATINIB,IK27506
Q59H18,BDBM25084,CHEMBL230011,TG100115,IK27507
Q59H18,BDBM31095,CHEMBL1721885,SU014813,IK27508
Q59H18,BDBM15138,CHEMBL379218,A674563,IK27509
Q59H18,BDBM13534,CHEMBL572878,TOZASERTIB,IK27510
Q59H18,BDBM4552,CHEMBL288441,BOSUTINIB,IK27511
Q59H18,BDBM12621,CHEMBL384304,RG547,IK27512
Q59H18,BDBM50026612,CHEMBL502835,NINTEDANIB,IK27513
Q59H18,BDBM50331096,CHEMBL491473,CEDIRANIB,IK27514
Q59H18,BDBM50355501,CHEMBL1789941,RUXOLITINIB,IK27515
Q59H18,BDBM25013,CHEMBL494089,GSK690693,IK27516
Q59H18,BDBM50309910,CHEMBL608154,ML120B,IK27517
Q59H18,BDBM16673,CHEMBL1336,SORAFENIB,IK27518
Q59H18,BDBM17055,CHEMBL91829,RUBOXISTAURIN,IK27519
Q59H18,BDBM4851,CHEMBL101253,VATALANIB,IK27520
Q59H18,BDBM15244,CHEMBL119385,NEFLAMAPIMOD,IK27521
Q59H18,BDBM25028,CHEMBL521851,PICTILISIB,IK27522
Q59H18,BDBM21079,CHEMBL223360,LINIFANIB,IK27523
Q59H18,BDBM50332294,CHEMBL1287853,FEDRATINIB,IK27524
Q59H18,BDBM60589,CHEMBL1236107,SGX523,IK27525
Q59H18,BDBM50193995,CHEMBL221959,TOFACITINIB,IK27526
Q59H18,BDBM25617,CHEMBL1230020,PLX4720,IK27527
Q59H18,BDBM50132260,CHEMBL105442,CI1040,IK27528
Q59H18,BDBM50308060,CHEMBL603469,LESTAURTINIB,IK27529
Q59H18,BDBM50128285,CHEMBL300138,ENZASTAURIN,IK27530
Q59H18,BDBM31093,CHEMBL259084,MLN8054,IK27531
Q59H18,BDBM5447,CHEMBL939,GEFITINIB,IK27532
Q59H18,BDBM26474,CHEMBL477772,PAZOPANIB,IK27533
Q59H18,BDBM13535,CHEMBL124660,TANDUTINIB,IK27534
Q59H18,BDBM50306682,CHEMBL601719,CRIZOTINIB,IK27535
Q59H18,BDBM27817,CHEMBL464552,GSK1838705A,IK27536
Q59H18,BDBM13533,CHEMBL103667,DORAMAPIMOD,IK27537
Q59H18,BDBM25121,CHEMBL513909,BI2536,IK27538
Q59H18,BDBM26300,CHEMBL215152,AZD1152HQPA,IK27539
Q59H18,BDBM25117,CHEMBL1289926,AXITINIB,IK27540
Q59H18,BDBM24654,CHEMBL445813,AT7519,IK27541
Q59H18,BDBM50322823,CHEMBL1173655,AFATINIB,IK27542
Q59H18,BDBM50326053,CHEMBL608533,MIDOSTAURIN,IK27543
Q59H18,BDBM5931,CHEMBL296468,BMS387032,IK27544
Q59H18,BDBM60665,CHEMBL475251,R406,IK27545
Q59H18,BDBM5655,CHEMBL428690,ALVOCIDIB,IK27546
Q59H18,BDBM4814,CHEMBL535,SUNITINIB,IK27547
Q59H18,BDBM21,CHEMBL24828,VANDETANIB,IK27548
Q59H18,BDBM31085,CHEMBL574738,AST487,IK27549
Q59H18,BDBM24773,CHEMBL572881,MOTESANIB,IK27550
Q59H18,BDBM31088,CHEMBL558752,RAF265,IK27551
Q59H18,BDBM25919,CHEMBL249697,BMS345541,IK27552
Q59H18,BDBM25045,CHEMBL573339,PI103,IK27553
Q59H18,BDBM50184807,CHEMBL377300,BRIVANIB,IK27554
Q59H18,BDBM50242742,CHEMBL509032,TAE684,IK27555
Q59H18,BDBM50300690,CHEMBL576982,QUIZARTINIB,IK27556
Q59H18,BDBM50242737,CHEMBL450786,PHA665752,IK27557
Q59H18,BDBM32362,CHEMBL261849,GW632580X,IK27558
Q59H18,BDBM4779,CHEMBL31965,CANERTINIB,IK27559
Q59H18,BDBM50326053,CHEMBL608533,MIDOSTAURIN,IK27560
Q59H18,BDBM21079,CHEMBL223360,LINIFANIB,IK27561
Q59H18,BDBM24773,CHEMBL572881,MOTESANIB,IK27562
Q59H18,BDBM31085,CHEMBL574738,AST487,IK27563
Q59H18,BDBM26300,CHEMBL215152,AZD1152HQPA,IK27564
Q59H18,BDBM13533,CHEMBL103667,DORAMAPIMOD,IK27565
Q59H18,BDBM5931,CHEMBL296468,BMS387032,IK27566
Q59H18,BDBM25118,CHEMBL522892,DOVITINIB,IK27567
Q59H18,BDBM31088,CHEMBL558752,RAF265,IK27568
Q59H18,BDBM4779,CHEMBL31965,CANERTINIB,IK27569
Q59H18,BDBM50193995,CHEMBL221959,TOFACITINIB,IK27570
Q59H18,BDBM31340,CHEMBL483321,CP724714,IK27571
Q59H18,BDBM13216,CHEMBL1421,DASATINIB,IK27572
Q59H18,BDBM31090,CHEMBL607707,PELITINIB,IK27573
